from;r120640428428-biomass_gas-commodity;r120640472472-biomass_gas-commodity;r120670124124-biomass_gas-commodity;r120670201201-biomass_gas-commodity;r120640428428-biomass_solid-commodity;r120640472472-biomass_solid-commodity;r120670124124-biomass_solid-commodity;r120670201201-biomass_solid-commodity;r120640428428-electricity-import;r120640472472-electricity-import;r120670124124-electricity-import;r120670201201-electricity-import;r120640428428-h2-commodity;r120640472472-h2-commodity;r120670124124-h2-commodity;r120670201201-h2-commodity;r120640428428-residual_waste-commodity;r120640472472-residual_waste-commodity;r120670124124-residual_waste-commodity;r120670201201-residual_waste-commodity
to;r120640428428-biomass_gas;r120640472472-biomass_gas;r120670124124-biomass_gas;r120670201201-biomass_gas;r120640428428-biomass_solid;r120640472472-biomass_solid;r120670124124-biomass_solid;r120670201201-biomass_solid;r120640428428-electricity;r120640472472-electricity;r120670124124-electricity;r120670201201-electricity;r120640428428-h2;r120640472472-h2;r120670124124-h2;r120670201201-h2;r120640428428-residual_waste;r120640472472-residual_waste;r120670124124-residual_waste;r120670201201-residual_waste
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2019-07-04 16:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.748517780009792;4.143565914588205;1.41089008820191;56.17402549868238;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-07-04 17:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.75346217580568;11.215058426876512;4.0302443983477465;90.81545249869853;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-07-04 18:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.04754298375548;16.238597644685356;5.817996925138028;115.58602231816889;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-07-04 19:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.467726672713816;17.579206767814345;6.303024657655349;119.10459229582861;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-07-04 20:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.08667547696626;16.726447071742765;6.135433612945445;118.56523054263727;0.0;0.0;0.0;0.0;1.3340362279975555;0.0;0.0;0.0
2019-07-04 21:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.276193215191135;15.452530749679786;5.773663184261552;118.03791708269333;0.0;0.0;0.0;0.0;1.3230340547026305;0.0;0.0;0.0
2019-07-04 22:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.38011578200209;14.236228595478313;5.046907253769962;117.00305203130824;0.0;0.0;0.0;0.0;1.2934639297149935;0.0;0.0;0.0
2019-07-04 23:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.800358503843185;12.335056265838992;4.396987871860648;101.55282791536388;0.0;0.0;0.0;0.0;1.2300808490513122;0.0;0.0;0.0
2019-07-05 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.43063185417178;9.907977064931716;3.5158143946772134;100.23816581700332;0.0;0.0;0.0;0.0;1.2038315784175786;0.0;0.0;0.0
2019-07-05 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.445615329351767;8.407568896033968;2.8160931261019866;99.51064512356496;0.0;0.0;0.0;0.0;1.209826466935119;0.0;0.0;0.0
